nombre_columna,tipo_dato,descripcion
oaci,string,Código OACI/ICAO (4 letras) del aeropuerto/aeródromo.
iata,string?,Código IATA (3 letras) del aeropuerto/aeródromo. No todos los aeródromos están inscritos en IATA.
nombre,string,"Nombre del aeropuerto. Especifica si es aeropuerto internacional, aeródromo, base militar, entre otros."
nombre_corto,string,Nombre acortado sin especificar tamaño del aeropuerto.
ciudad,string,Localidad donde se encuentra el aeropuerto.
region_iso,string,"Región del aeropuerto en formato ISO-3166-2 (por ejemplo, `CL-MA` corresponde a Magallanes y la Antártica Chilena)."
latitud,numeric,Latitud en formato decimal.
longitud,numeric,Longitud en formato decimal.
zona_horaria,string,En formato tzdata/IANA (America/Punta_Arenas).
categoria,string?,"Tipo de Red para aeropuertos/aeródromos de Chile: Primera (P), Segunda (S), Tercera (T), Militares (M) y Helipuerto (H)."
